Metadata_JCP2022	Metadata_repurposing_name	Metadata_repurposing_moa	Metadata_repurposing_target
JCP2022_067776	lovastatin	HMGCR inhibitor	HDAC2|HMGCR|ITGAL|NR1I2
JCP2022_067886	PF-04217903	c-Met inhibitor	MET
JCP2022_067887	Ro-20-1724	phosphodiesterase inhibitor	PDE3A|PDE4A|PDE4B|PDE4C|PDE4D
JCP2022_067900	AZD1480	JAK inhibitor	JAK1|JAK2|JAK3
JCP2022_067926	SB-242235	p38 MAPK inhibitor	HSPB1|MAPK14
JCP2022_067970	metatinib	Bcr-Abl kinase inhibitor	ABL1|BCR
JCP2022_068234	otamixaban	coagulation factor inhibitor	F10
JCP2022_068238	EI1	histone lysine methyltransferase inhibitor	EZH2
JCP2022_068274	SAR131675	VEGFR inhibitor	FLT4
JCP2022_068298	CPI-360	histone lysine methyltransferase inhibitor	EZH2
JCP2022_068333	cianidanol	fatty acid synthase inhibitor	PTGS1
JCP2022_068381	neomycin	bacterial 30S ribosomal subunit inhibitor	CXCR4
JCP2022_068410	BIBR-1532	telomerase inhibitor	TERT
JCP2022_068523	SB-743921	kinesin-like spindle protein inhibitor	KIF11
JCP2022_068558	12-O-tetradecanoylphorbol-13-acetate	PKC activator	KCNT2|TRPV4
JCP2022_068563	brequinar	dihydroorotate dehydrogenase inhibitor	DHODH
JCP2022_068606	trazodone	adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor	ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A|HTR2B|HTR2C|SLC6A4
JCP2022_068630	cot-inhibitor-2	MAPK-interacting kinase inhibitor	MAP3K8
JCP2022_068660	N-alpha-methylhistamine-dihydrochloride	histamine receptor agonist	HRH4
JCP2022_068674	dosulepin	norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI)|tricyclic antidepressant	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|SLC6A2|SLC6A4
JCP2022_068690	nortriptyline	tricyclic antidepressant	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR1A|HTR2A|HTR2C|HTR6|KCNJ10|PGRMC1|SIGMAR1|SLC6A2|SLC6A4
JCP2022_068699	ticlopidine	purinergic receptor antagonist	P2RY12
JCP2022_068713	ponatinib	Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor	ABL1|BCR|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|KDR|KIT|LCK|LYN|PDGFRA|RET|SRC|TEK
JCP2022_068838	picrotoxinin	GABA receptor antagonist	GLRA1|GLRA2|GLRA3|GLRB|HTR3A|HTR3B
JCP2022_068856	methylatropine-nitrate	acetylcholine receptor antagonist	CHRM1
JCP2022_068873	dovitinib	EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	CSF1R|EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|INSR|KDR|KIT|PDGFRA|PDGFRB
JCP2022_068901	isoflurane	inhaled anaesthetic	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9
JCP2022_068950	vigabatrin	GABA aminotransferase inhibitor	ABAT|SLC32A1
JCP2022_069075	warfarin	vitamin K antagonist	VKORC1
JCP2022_069124	linsitinib	IGF-1 inhibitor	IGF1R|INSR|INSRR
JCP2022_069131	NSC-632839	ubiquitin specific protease inhibitor	SENP2|USP1|USP2|USP7
JCP2022_069211	GW-7647	PPAR receptor agonist	PPARA
JCP2022_069279	birinapant	XIAP inhibitor	BIRC2|XIAP
JCP2022_069326	fluphenazine	dopamine receptor antagonist	CALM1|DRD1|DRD2|DRD5|HRH1|HTR2A|HTR6|HTR7
JCP2022_069357	tipifarnib	farnesyltransferase inhibitor	FNTA|FNTB
JCP2022_069371	CUDC-101	EGFR inhibitor	EGFR|ERBB2
JCP2022_069491	cyclosporin-A	calcineurin inhibitor	ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3
JCP2022_069563	tideglusib	glycogen synthase kinase inhibitor	GSK3B
JCP2022_069590	2-deoxyglucose	glycolysis inhibitor	SLC2A1|SLC2A2|SLC2A3|SLC2A4
JCP2022_069626	methimazole	antithyroid agent	TPO
JCP2022_069668	purvalanol-A	CDK inhibitor	CDK1|CDK2|CDK4|CDK5|CSNK1G3|RPS6KA1|SRC
JCP2022_069672	paliperidone	dopamine receptor antagonist|serotonin receptor antagonist	DRD2|HTR2A
JCP2022_069715	silodosin	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D
JCP2022_069793	TH-588	MTH1 inhibitor	NUDT1
JCP2022_069850	venlafaxine	adrenergic inhibitor|norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI)	SLC6A2|SLC6A4
JCP2022_069935	rufinamide	voltage-gated sodium channel blocker	GRM5|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
JCP2022_069991	CPA-inhibitor	carboxypeptidase inhibitor	CPA1|CPA2
JCP2022_070029	lauric-acid	bacterial permeability inducer	GPR84|HNF4A|LTF|LY96|PLA2G2A|TLR4
JCP2022_070064	danazol	estrogen receptor antagonist|progesterone receptor agonist	AR|CCL2|ESR1|GNRHR|GNRHR2|PGR
JCP2022_070068	thiamet-g	GLCNAC phosphotransferase inhibitor	MGEA5
JCP2022_070116	lixivaptan	vasopressin receptor antagonist	AVPR2
JCP2022_070180	flibanserin	serotonin receptor agonist	DRD4|HTR1A|HTR2A
JCP2022_070246	TW-37	BCL inhibitor	BCL2|BCL2L1|MCL1
JCP2022_070256	7-nitroindazole	nitric oxide synthase inhibitor	NOS1|NOS2|NOS3
JCP2022_070319	miltefosine	membrane integrity inhibitor	PLA2G1B
JCP2022_070331	UNC1215	L3MBTL antagonist	L3MBTL3
JCP2022_070370	SC-560	cyclooxygenase inhibitor	PTGS1
JCP2022_070399	A-804598	purinergic receptor antagonist	P2RX7
JCP2022_070415	CB-839	glutaminase inhibitor	GLS
JCP2022_070508	AZD3965	monocarboxylate transporter inhibitor	SLC16A1
JCP2022_070513	estriol	estrogen receptor agonist	ESR1|ESR2
JCP2022_070586	4SC-202	HDAC inhibitor	HDAC1
JCP2022_070623	harmane	monoamine oxidase inhibitor	MAOA|MAOB
JCP2022_070642	losartan	angiotensin receptor antagonist	AGTR1
JCP2022_070692	BMS-345541	IKK inhibitor	CHUK|IKBKB
JCP2022_070801	buphenine	adrenergic receptor agonist	ADRB2
JCP2022_070805	flopropione	serotonin receptor antagonist	HTR1A
JCP2022_070816	pyroxamide	HDAC inhibitor	HDAC1
JCP2022_070859	cladribine	adenosine deaminase inhibitor|ribonucleotide reductase inhibitor	ADA|PNP|POLA1|POLE|POLE2|POLE3|POLE4|RRM1|RRM2|RRM2B
JCP2022_070862	tasimelteon	melatonin receptor agonist	MTNR1A|MTNR1B
JCP2022_070869	GW-1100	G protein-coupled receptor agonist	FFAR1
JCP2022_070876	avasimibe	ACAT inhibitor	CES1
JCP2022_070878	abametapir	metalloproteinase inhibitor	MMP9
JCP2022_070967	cinchocaine	sodium channel blocker	CALM1|SCN10A|SCN5A
JCP2022_070982	A740003	purinergic receptor antagonist	P2RX7
JCP2022_071066	ivacaftor	CFTR channel potentiator	CFTR
JCP2022_071112	carprofen	cyclooxygenase inhibitor	PTGS2
JCP2022_071133	meldonium	gamma butyrobetaine hydroxylase inhibitor	BBOX1
JCP2022_071206	mizolastine	histamine receptor antagonist	HRH1
JCP2022_071220	niacin	NAD precursor|vitamin B	DGAT2|HCAR1|HCAR2|HCAR3|NNMT|QPRT
JCP2022_071328	acrivastine	histamine receptor antagonist	HRH1
JCP2022_071429	acetylcysteine	mucolytic agent	ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11
JCP2022_071469	LX7101	LIM kinase inhibitor|rho associated kinase inhibitor	LIMK2|ROCK1|ROCK2
JCP2022_071486	ZM-241385	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3
JCP2022_071500	eletriptan	serotonin receptor agonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2B|HTR7
JCP2022_071503	lerisetron	serotonin receptor antagonist	HTR3A
JCP2022_071508	promethazine	histamine receptor antagonist	HRH1
JCP2022_071525	quinestrol	estrogen receptor agonist	ESR1|ESR2
JCP2022_071580	dinoprost	prostacyclin analog	PTGDR|PTGDR2|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|TBXA2R
JCP2022_071629	alantolactone	apoptosis stimulant|STAT inhibitor	STAT3
JCP2022_071702	MSX-122	CC chemokine receptor antagonist	CXCR4
JCP2022_071732	QX-314	sodium channel blocker	MAPK14|TGFBR1
JCP2022_071733	ZM-336372	RAF inhibitor	BRAF|LCK|MAPK14|RAF1
JCP2022_071764	etravirine	non-nucleoside reverse transcriptase inhibitor	CYP2C19|CYP2C9|CYP3A4
JCP2022_071811	sacubitril	neprilysin inhibitor	MME
JCP2022_071848	MN-64	tankyrase inhibitor	TNKS
JCP2022_071857	tanaproget	progesterone receptor agonist	PGR
JCP2022_071868	S-111	PARP inhibitor	PARP1
JCP2022_071888	lamotrigine	serotonin receptor antagonist|sodium channel blocker	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
JCP2022_071910	enilconazole	sterol demethylase inhibitor	CYP19A1|CYP1A2|CYP2B6|CYP2C9|CYP2J2|CYP3A4|CYP3A5|NR1I2|PPARA|PTGER2
JCP2022_071990	adrenalone	adrenergic receptor agonist	ADRA1A
JCP2022_072024	milrinone	phosphodiesterase inhibitor	PDE2A|PDE3A|PDE3B|PDE5A
JCP2022_072041	NPS-2143	calcium receptor antagonist	CASR
JCP2022_072113	NVP-BGJ398	FGFR inhibitor	FGFR1|FGFR2|FGFR3|FGFR4|KDR
JCP2022_072132	nelfinavir	HIV protease inhibitor	CYP1A2|CYP2B6|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A7
JCP2022_072146	DBeQ	ATPase inhibitor	CASP3
JCP2022_072147	caffeic-acid	HIV integrase inhibitor|lipoxygenase inhibitor|nitric oxide production inhibitor|tumor necrosis factor production inhibitor	ALOX5|MIF
JCP2022_072187	XMD8-92	MAP kinase inhibitor	DCLK2|MAPK7|PLK4|TNK1
JCP2022_072232	adarotene	retinoid receptor agonist	RARB|RARG
JCP2022_072319	RG7112	MDM inhibitor	MDM2
JCP2022_072343	gossypol	BCL inhibitor|MCL1 inhibitor	BCL2
JCP2022_072365	ML141	GTPase inhibitor	CDC42
JCP2022_072471	CGS-9896	GABA receptor antagonist	GABRA1|GABRB2|GABRG2
JCP2022_072482	clioquinol	chelating agent	OPRK1
JCP2022_072507	pilocarpine	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
JCP2022_072517	PFI-4	bromodomain inhibitor	BRPF1
JCP2022_072637	ML324	histone lysine demethylase inhibitor	KDM4A
JCP2022_072664	EIPA	sodium/hydrogen exchanger inhibitor|transient receptor potential polycystic inhibitor	ADRA2A|ASIC1|PKD2L1
JCP2022_072693	GSK1059615	PI3K inhibitor	PIK3CG
JCP2022_072717	SR-3306	JNK inhibitor	MAPK10|MAPK8|MAPK9
JCP2022_072832	CPI-203	bromodomain inhibitor	BRD4
JCP2022_072851	nepafenac	cyclooxygenase inhibitor	PTGS1|PTGS2
JCP2022_072906	traxoprodil	glutamate receptor antagonist	GRIN2B
JCP2022_072945	IWP-L6	porcupine inhibitor	PORCN
JCP2022_072961	reserpine	vesicular monoamine transporter inhibitor	SLC18A1|SLC18A2
JCP2022_073014	telatinib	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	KDR
JCP2022_073112	1,2,3,4,5,6-hexabromocyclohexane	JAK inhibitor	JAK2
JCP2022_073113	BI-78D3	JNK inhibitor	MAPK8
JCP2022_073136	BQU57	Ras GTPase inhibitor	RALA|RALB
JCP2022_073156	PD-98059	MEK inhibitor	AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1
JCP2022_073263	saxagliptin	dipeptidyl peptidase inhibitor	DPP4
JCP2022_073266	betulinic-acid	apoptosis stimulant|NFkB pathway inhibitor	GPBAR1
JCP2022_073352	epiandrosterone	steroid	G6PD
JCP2022_073380	ACY-1215	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8
JCP2022_073385	LY2801653	MET inhibitor	MET
JCP2022_073435	octopamine	trace amine associated receptor agonist	F10|TAAR1
JCP2022_073458	SB-202190	p38 MAPK inhibitor	AKT1|ALOX5|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SGK1
JCP2022_073463	NMS-1286937	PLK inhibitor	FLT3|PLK1|PLK2|PLK3
JCP2022_073582	eslicarbazepine-acetate	sodium channel blocker	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
JCP2022_073620	hydroquinone	melanin inhibitor	TYR
JCP2022_073628	ME-0328	PPAR receptor antagonist	PARP3
JCP2022_073628	ME0328	PARP inhibitor	PARP3
JCP2022_073643	LY2608204	glucokinase activator	GCK
JCP2022_073743	tryptophan	serotonin receptor partial agonist	CASR|IDO1|SLC36A1|WARS|WARS2
JCP2022_073808	O4I1	Oct inducer	POU5F1
JCP2022_073821	azilsartan-medoxomil	angiotensin receptor antagonist	AGTR1|AGTR2
JCP2022_073834	BRL-15572	serotonin receptor antagonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR6
JCP2022_073859	didox	ribonucleotide reductase inhibitor	RRM1
JCP2022_073949	MK-2894	prostaglandin inhibitor	PTGER4
JCP2022_073950	ispinesib	kinesin inhibitor	KIF11
JCP2022_073979	sotagliflozin	sodium/glucose cotransporter inhibitor	SLC5A1|SLC5A2
JCP2022_074022	URMC-099	mixed lineage kinase inhibitor	CDKL2|DAPK3|FLT3|LRRK2|MAP3K10|MAP3K11|MAP3K2|MAP3K9|SRPK2
JCP2022_074056	BMS-191011	potassium channel activator	KCNMA1
JCP2022_074182	alarelin	gonadotropin releasing factor hormone receptor antagonist	GNRH1
JCP2022_074193	WYE-125132	mTOR inhibitor	MTOR
JCP2022_074222	RX-3117	CDK inhibitor|DNA synthesis inhibitor	CDK2|DNMT1
JCP2022_074258	GSK2334470	phosphoinositide dependent kinase inhibitor	AURKA|AURKB|PDPK1
JCP2022_074306	P276-00	CDK inhibitor	CDK1|CDK4|CDK9
JCP2022_074336	taranabant	cannabinoid receptor inverse agonist	CNR1
JCP2022_074376	EPZ020411	protein arginine N-methyltransferase inhibitor	PRMT6
JCP2022_074400	GF109203X	PKC inhibitor	PDPK1|PIM1|PRKCI|PRKCZ
JCP2022_074410	pyrvinium-pamoate	androgen receptor antagonist	AR
JCP2022_074465	4-HQN	PARP inhibitor	PARP1
JCP2022_074572	sobetirome	thyroid hormone receptor agonist	THRA|THRB
JCP2022_074678	tyrphostin-AG-1296	FLT3 inhibitor	FLT3
JCP2022_074696	dexloxiglumide	CCK receptor antagonist	CCKAR
JCP2022_074697	AZD9668	elastase inhibitor	ELANE
JCP2022_074702	ML228	hypoxia inducible factor activator	HIF1A
JCP2022_074729	SU9516	CDK inhibitor	CDK1|CDK2|CDK4|CDK5
JCP2022_074761	JZL-195	FAAH inhibitor|monoacylglycerol lipase inhibitor	FAAH|MGLL
JCP2022_074764	apixaban	coagulation factor inhibitor	F10
JCP2022_074802	UNC0638	histone lysine methyltransferase inhibitor	EHMT1|EHMT2
JCP2022_074825	MRS-2578	purinergic receptor antagonist	P2RY6
JCP2022_074897	JNJ-16259685	glutamate receptor antagonist	GRM1
JCP2022_074961	propiverine	acetylcholine receptor antagonist	CHRM1
JCP2022_074981	phenazopyridine	local anesthetic	SCN1A
JCP2022_075144	olsalazine	cyclooxygenase inhibitor	IFNG|TPMT
JCP2022_075160	MC1568	HDAC inhibitor	HDAC2
JCP2022_075182	A205804	ICAM1 expression inhibitor	ICAM1|SELE
JCP2022_075214	icotinib	EGFR inhibitor	EGFR
JCP2022_075251	itopride	dopamine receptor antagonist	CHRM3|DRD2
JCP2022_075293	kenpaullone	CDK inhibitor|glycogen synthase kinase inhibitor	CCNB1|CDK1|CDK5|GSK3B
JCP2022_075310	NVP-TAE684	ALK tyrosine kinase receptor inhibitor	ALK|INSR
JCP2022_075428	curcumol	JAK inhibitor	JAK1|JAK2|JAK3
JCP2022_075502	isoniazid	FABI inhibitor	CYP1A2|CYP2C19|CYP2C8|CYP2E1|CYP3A4
JCP2022_075516	felbinac	cyclooxygenase inhibitor	CTSL
JCP2022_075579	ripasudil	rho associated kinase inhibitor	ROCK1|ROCK2
JCP2022_075584	maprotiline	norepinephrine reputake inhibitor|tricyclic antidepressant	SLC6A2
JCP2022_075668	SGI-1027	DNA methyltransferase inhibitor	DNMT1|DNMT3A|DNMT3B
JCP2022_075694	GSK1070916	Aurora kinase inhibitor	AURKA|AURKB|AURKC|CYP2D6|CYP3A4
JCP2022_075724	propacetamol	cyclooxygenase inhibitor	PTGS2
JCP2022_075732	PIK-75	DNA protein kinase inhibitor|PI3K inhibitor	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC
JCP2022_075792	AVE-0991	angiotensin receptor agonist	MRGPRX1
JCP2022_075802	GW-1929	PPAR receptor agonist	PPARG
JCP2022_075815	ETC-159	beta catenin inhibitor|porcupine inhibitor	PORCN
JCP2022_075850	leucomethylene-blue	nitric oxide production inhibitor|tau aggregation inhibitor	MAPT
JCP2022_075898	palmatine-chloride	dopamine synthesis inhibitor	CYP3A4
JCP2022_075916	ANR-94	adenosine receptor antagonist	ADORA2A
JCP2022_075930	CCG-50014	G protein signaling inhibitor	RGS4|RGS8
JCP2022_075949	aminothiadiazole	inosine monophosphate dehydrogenase inhibitor	ADORA3|IMPDH1
JCP2022_075954	BIIB021	HSP inhibitor	HSP90AA1
JCP2022_075990	hesperidin	flavanone glycoside	AURKB|CACNA1B
JCP2022_076001	icatibant-acetate	bradykinin receptor antagonist	BDKRB2
JCP2022_076233	dilazep	adenosine reuptake inhibitor	SLC29A1
JCP2022_076254	buspirone	serotonin receptor agonist	DRD2|HTR1A
JCP2022_076279	amoxapine	norepinephrine reputake inhibitor	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH4|HTR1A|HTR1B|HTR2A|HTR2B|HTR2C|HTR3A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4
JCP2022_076300	CYM-50358	sphingosine 1-phosphate receptor antagonist	S1PR4
JCP2022_076432	amitraz	adrenergic receptor agonist	ADRA1A|ADRA2A
JCP2022_076510	cyanopindolol	adrenergic receptor antagonist	ADRB1|HTR1A|HTR1D
JCP2022_076523	methoxsalen	DNA synthesis inhibitor	CYP1A1|CYP1A2|CYP2A13|CYP2A6|CYP3A4
JCP2022_076573	epothilone-B	microtubule stabilizing agent|tubulin polymerization inhibitor	TUBB
JCP2022_076605	droxidopa	norepinephrine precursor	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH
JCP2022_076606	selexipag	IP1 prostacyclin receptor agonist|platelet aggregation inhibitor	PTGIR
JCP2022_076631	SB-2343	mTOR inhibitor|PI3K inhibitor	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG
JCP2022_076690	CCT129202	Aurora kinase inhibitor	AURKA|AURKB|AURKC
JCP2022_076735	agmatine	nitric oxide synthase inhibitor	ADRA2C|ASIC3|CACNA1B|CHRNA1|GRIN1|KCNJ1|NISCH
JCP2022_076760	MRK-016	GABA receptor inverse agonist	GABRA1|GABRA2|GABRA3|GABRA5
JCP2022_076804	barasertib-HQPA	Aurora kinase inhibitor	AURKB
JCP2022_076818	serotonin	growth factor receptor activator	DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR3B|HTR4|HTR5A|HTR6|HTR7|SLC36A1
JCP2022_076839	AZD5069	CC chemokine receptor antagonist	CXCR2
JCP2022_076921	beta-lapachone	topoisomerase inhibitor	TOP1
JCP2022_076968	phenoxybenzamine	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C
JCP2022_077012	indacaterol	adrenergic receptor agonist	ADRB1|ADRB2
JCP2022_077040	posaconazole	sterol demethylase inhibitor	CYP3A4
JCP2022_077046	motesanib	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	FLT1|FLT4|KDR|KIT
JCP2022_077055	aminothiazole	cyclin D inhibitor	NOS2
JCP2022_077089	aminopurvalanol-a	CDK inhibitor|tyrosine kinase inhibitor	CDK1|CDK2|CDK5
JCP2022_077096	oxibendazole	tubulin polymerization inhibitor	TUBB|TUBB4B
JCP2022_077103	TTP-22	casein kinase inhibitor	CSNK2A1
JCP2022_077110	risperidone	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR6|HTR7
JCP2022_077142	efaroxan	adrenergic receptor antagonist	ADORA2A
JCP2022_077158	PK-11195	benzodiazepine receptor antagonist	TSPO
JCP2022_077325	methylene-blue	guanylyl cyclase inhibitor|nitric oxide production inhibitor	ACHE
JCP2022_077462	diethylcarbamazine	lipoxygenase inhibitor	ALOX5|PTGS1
JCP2022_077469	TAK-733	MEK inhibitor	MAP2K1
JCP2022_077481	radafaxine	dopamine-norepinephrine reuptake inhibitor	SLC6A3
JCP2022_077482	RS-100329	adrenergic receptor antagonist	ADRA1A|ADRA1D
JCP2022_077579	CB-5083	valosin-containing protein inhibitor	VCP
JCP2022_077638	fenoprofen	prostaglandin inhibitor	PTGS1|SLC5A8
JCP2022_077671	loperamide	opioid receptor agonist	CACNA1A|CALM1|OPRD1|OPRK1|OPRM1|POMC
JCP2022_077693	refametinib	MEK inhibitor	MAP2K1|MAP2K2
JCP2022_077797	quercetin	polar auxin transport inhibitor	ATP5A1|ATP5B|ATP5C1|HCK|HIBCH|PIK3CG|PIM1|STK17B|UGT3A1
JCP2022_077871	procainamide	sodium channel blocker	DNMT1|SCN5A
JCP2022_077923	antazoline	antihistamine	HRH1
JCP2022_077927	zaprinast	phosphodiesterase inhibitor	GPR35|PDE1A|PDE4D|PDE5A|PDE9A
JCP2022_077940	IPA-3	p21 activated kinase inhibitor	PAK1
JCP2022_077952	PRIMA1	TP53 inhibitor	ACHE
JCP2022_077967	RBC8	Ral GTPase inhibitor	RALA|RALB
JCP2022_078005	fluconazole	sterol demethylase inhibitor	CYP51A1
JCP2022_078022	dehydrocorydaline	acetylcholinesterase inhibitor	ACHE
JCP2022_078078	KU-0063794	mTOR inhibitor	MTOR
JCP2022_078089	omecamtiv-mecarbil	cardiac myosin activator	MYBPC3
JCP2022_078097	oleuropein	estrogen receptor agonist	GPER1
JCP2022_078103	dapiprazole	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D
JCP2022_078121	CEP-33779	JAK inhibitor	JAK2
JCP2022_078143	perphenazine	dopamine receptor antagonist	CALM1|DRD1|DRD2|HRH1|HTR2A|HTR2C|HTR6|HTR7
JCP2022_078148	PSB-11	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA3
JCP2022_078174	voxtalisib	mTOR inhibitor|PI3K inhibitor	MTOR|PIK3CA
JCP2022_078189	GDC-0349	Pim kinase inhibitor	PIK3CA
JCP2022_078229	nonivamide	TRPV agonist	TRPV1
JCP2022_078291	LM-22A4	tropomyosin receptor kinase inhibitor	NTRK2
JCP2022_078310	GKT137831	NADPH oxidase inhibitor	NOX1|NOX4
JCP2022_078327	epirizole	cyclooxygenase inhibitor	PTGS1|PTGS2
JCP2022_078344	detomidine	adrenergic receptor agonist	ADRA2A
JCP2022_078364	Y-27152	potassium channel activator	KCNJ8
JCP2022_078371	L-citrulline	nitric oxide stimulant	ASS1|DDAH1|DDAH2|GPRC6A|NOS1|NOS2|NOS3|OTC|PADI1|PADI2|PADI3|PADI4|PADI6
JCP2022_078431	emodin	11-beta hydroxysteroid dehydrogenase inhibitor	CSNK2A1
JCP2022_078493	dolutegravir	HIV integrase inhibitor	CYP3A4|CYP3A5|CYP3A7|POU2F2|UGT1A1
JCP2022_078507	ribociclib	CDK inhibitor	CDK4|CDK6
JCP2022_078581	filgotinib	JAK inhibitor	JAK1|JAK2|JAK3|TYK2
JCP2022_078588	fomepizole	alcohol dehydrogenase inhibitor	ADH1A|ADH1B|ADH1C|AKR1A1|CAT
JCP2022_078641	axitinib	PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	CSF1|FLT1|FLT4|KDR|PLK4
JCP2022_078715	RTA-408	nitric oxide production inhibitor	NFE2L2
JCP2022_078747	nitroxoline	cathepsin inhibitor	METAP2
JCP2022_078759	indoprofen	cyclooxygenase inhibitor|prostanoid receptor antagonist	CXCR1|CXCR2|PTGS1|PTGS2
JCP2022_078761	niclosamide	DNA replication inhibitor|STAT inhibitor	STAT3
JCP2022_078843	KN-62	calcium/calmodulin dependent protein kinase inhibitor|purinergic receptor antagonist	AKT1|CAMK2A|CHEK1|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|P2RX7|PRKCA|ROCK1|RPS6KB1|SGK1
JCP2022_078903	pimavanserin	serotonin receptor inverse agonist	DRD2|HTR2A
JCP2022_078905	alpha-asarone	cytochrome P450 inhibitor|HMGCR inhibitor	HMGCR
JCP2022_079001	succinobucol	antioxidant	VCAM1
JCP2022_079015	atropine	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3
JCP2022_079015	hyoscyamine	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4
JCP2022_079028	chlorpropamide	ATP channel blocker	ABCC8|KCNJ10
JCP2022_079030	kuromanin	ribosyl cyclase inhibitor	CD38
JCP2022_079045	sumanirole	dopamine receptor agonist	DRD2
JCP2022_079050	lisinopril	angiotensin converting enzyme inhibitor	ACE|ACE2
JCP2022_079243	P22077	ubiquitin specific protease inhibitor	USP7
JCP2022_079268	droperidol	dopamine receptor antagonist	ADRA1A|DRD2|DRD3|DRD4|HTR2A
JCP2022_079297	pirenzepine	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
JCP2022_079329	telmisartan	angiotensin receptor antagonist	AGTR1|PPARG
JCP2022_079413	triflusal	cyclooxygenase inhibitor|platelet aggregation inhibitor|thromboxane synthase inhibitor	NFKB1|NOS2|PDE10A|PTGS1
